bus,tech,capacity_potential,source
BE,wind_offshore,5600.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
CZ,wind_offshore,0.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
DK,wind_offshore,125000.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
FR,wind_offshore,253000.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
DE,wind_offshore,72000.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
LU,wind_offshore,0.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
NL,wind_offshore,92000.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
NO,wind_offshore,386000.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
PL,wind_offshore,50000.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
SE,wind_offshore,223000.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
CH,wind_offshore,0.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
AT,wind_onshore,15000.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
BE,wind_onshore,3500.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
CZ,wind_onshore,14000.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
DK,wind_onshore,7500.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
FR,wind_onshore,109000.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
DE,wind_onshore,55000.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
LU,wind_onshore,300.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
NL,wind_onshore,5100.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
NO,wind_onshore,68000.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
PL,wind_onshore,59000.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
SE,wind_onshore,90000.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
CH,wind_onshore,7000.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
AT,pv,13000.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
BE,pv,23000.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
CZ,pv,18000.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
DK,pv,9500.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
FR,pv,99000.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
DE,pv,108000.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
LU,pv,700.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
NL,pv,16000.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
NO,pv,3000.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
PL,pv,41000.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
SE,pv,19000.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
CH,pv,2000.0,https://elib.dlr.de/77976/1/REMix_Thesis_YS.pdf
AT,caes,7.089,ZNES_2050_ehighway
BE,caes,121.21500000000002,ZNES_2050_ehighway
CZ,caes,280.791,ZNES_2050_ehighway
DK,caes,63.0,ZNES_2050_ehighway
FR,caes,75.0,ZNES_2050_ehighway
DE,caes,1029.2970000000003,ZNES_2050_ehighway
LU,caes,38.277,ZNES_2050_ehighway
NL,caes,512.505,ZNES_2050_ehighway
NO,caes,0.0,ZNES_2050_ehighway
PL,caes,517.2090000000001,ZNES_2050_ehighway
SE,caes,0.0,ZNES_2050_ehighway
CH,caes,7.9110000000000005,ZNES_2050_ehighway
